query,function,identifier,url,score
convert int to string,"public static CopyState create(@Nullable @CheckForNull Package targetPackage, Progress progress) {
    return new CopyState(targetPackage, progress);
  }",CopyState.create,https://github.com/molgenis/molgenis/blob/b4d0d6b27e6f6c8d7505a3863dc03b589601f987/molgenis-navigator/src/main/java/org/molgenis/navigator/copy/service/CopyState.java#L32-L34,1.2564864
convert int to string,"protected final boolean advance() {
    checkState(!successorIterator.hasNext());
    if (!nodeIterator.hasNext()) {
      return false;
    }
    node = nodeIterator.next();
    successorIterator = graph.successors(node).iterator();
    return true;
  }",EndpointPairIterator.advance,https://github.com/google/guava/blob/7155d12b70a2406fa84d94d4b8b3bc108e89abfd/android/guava/src/com/google/common/graph/EndpointPairIterator.java#L52-L60,1.2483224
convert int to string,"@Override
   public boolean hasNext() {
      if (next != null) {
         return true;
      }

      while (delegate.hasNext()) {
         next = delegate.next();
         if (next != null) {
            return true;
         }
      }
      return false;
   }",NullFilteringIterator.hasNext,https://github.com/infinispan/infinispan/blob/7c62b94886c3febb4774ae8376acf2baa0265ab5/query/src/main/java/org/infinispan/query/impl/NullFilteringIterator.java#L24-L37,1.2475793
convert int to string,"public static SQLiteEvent createInsertWithId(Long result) {
		return new SQLiteEvent(SqlModificationType.INSERT, null, result, null);
	}",SQLiteEvent.createInsertWithId,https://github.com/xcesco/kripton/blob/90de2c0523d39b99e81b8d38aa996898762f594a/kripton-orm/src/main/java/com/abubusoft/kripton/android/sqlite/SQLiteEvent.java#L57-L59,1.2468029
convert int to string,"public static synchronized Source createSource(String json) {
        synchronized (gson) {
            Source source = gson.fromJson(json, Source.class);
            return source;
        }
    }",ItemFactory.createSource,https://github.com/socialsensor/socialsensor-framework-common/blob/b69e7c47f3e0a9062c373aaec7cb2ba1e19c6ce0/src/main/java/eu/socialsensor/framework/common/factories/ItemFactory.java#L117-L122,1.2438062
convert int to string,"public JComponent renderCrosstab(final Crosstab<?> crosstab) {
        final CrosstabResult crosstabResult = new CrosstabResult(crosstab);
        return delegateRenderer.render(crosstabResult);
    }",PatternFinderResultSwingRenderer.renderCrosstab,https://github.com/datacleaner/DataCleaner/blob/9aa01fdac3560cef51c55df3cb2ac5c690b57639/desktop/ui/src/main/java/org/datacleaner/widgets/result/PatternFinderResultSwingRenderer.java#L150-L153,1.243127
convert int to string,"@Override
    public boolean contains(IIsotope isotope) {
        for (Iterator<IIsotope> it = isotopes().iterator(); it.hasNext();) {
            IIsotope thisIsotope = it.next();
            if (isTheSame(thisIsotope, isotope)) {
                return true;
            }
        }
        return false;
    }",AdductFormula.contains,https://github.com/cdk/cdk/blob/c3d0f16502bf08df50365fee392e11d7c9856657/base/silent/src/main/java/org/openscience/cdk/silent/AdductFormula.java#L114-L123,1.241442
convert int to string,"@Override
    public QueueReceiver createReceiver(Queue queue, String messageSelector) throws JMSException {
        return createReceiver(queue);
    }",SQSSession.createReceiver,https://github.com/awslabs/amazon-sqs-java-messaging-lib/blob/efa716d34d51ef1c5572790626cdb795419cb342/src/main/java/com/amazon/sqs/javamessaging/SQSSession.java#L241-L244,1.2413635
convert int to string,"public static int cublasZaxpy(
        cublasHandle handle, 
        int n, 
        Pointer alpha, /** host or device pointer */
        Pointer x, 
        int incx, 
        Pointer y, 
        int incy)
    {
        return checkResult(cublasZaxpyNative(handle, n, alpha, x, incx, y, incy));
    }",JCublas2.cublasZaxpy,https://github.com/jcuda/jcublas/blob/80875235d24562073f4d66651dd17263f306427d/JCublasJava/src/main/java/jcuda/jcublas/JCublas2.java#L1135-L1145,1.2413558
convert int to string,"public static boolean isSameLocalTime(LocalTime first, LocalTime second) {
        // If both values are null, return true.
        if (first == null && second == null) {
            return true;
        }
        // At least one value contains a time. If the other value is null, then return false.
        if (first == null || second == null) {
            return false;
        }
        // Both values contain times. Return true if the times are equal, otherwise return false.
        return first.equals(second);
    }",PickerUtilities.isSameLocalTime,https://github.com/LGoodDatePicker/LGoodDatePicker/blob/c7df05a5fe382e1e08a6237e9391d8dc5fd48692/Project/src/main/java/com/github/lgooddatepicker/optionalusertools/PickerUtilities.java#L113-L124,1.2409323
priority queue,"private String terminalOptions(Terminal term) {
        String options;

        switch (term) {
            case POSTSCRIPT:
                options = ""postscript enhanced"";
                break;
            case POSTSCRIPT_COLOR:
                options = ""postscript color enhanced"";
                break;
            default:
                options = term.toString().toLowerCase();
                break;
        }
        return options;
    }",PlotTab.terminalOptions,https://github.com/Waikato/moa/blob/395982e5100bfe75a3a4d26115462ce2cc74cbb0/moa/src/main/java/moa/gui/experimentertab/PlotTab.java#L1185-L1200,1.247197
priority queue,"public static org.assertj.android.support.v4.api.app.LoaderManagerAssert assertThat(
      android.support.v4.app.LoaderManager actual) {
    return new org.assertj.android.support.v4.api.app.LoaderManagerAssert(actual);
  }",Assertions.assertThat,https://github.com/square/assertj-android/blob/7d4da5c468bce780e43c243853d5b8f1e7b93135/assertj-android-support-v4/src/main/java/org/assertj/android/support/v4/api/Assertions.java#L39-L42,1.2462587
priority queue,"private void cleanupDecBuffers() {
        // if we have decrypted buffers and they are either JIT created or made
        // during decryption/expansion (user buffers too small) then release them
        // here and dereference
        if (null != this.decryptedNetBuffers
            && (callerRequiredAllocation || decryptedNetBufferReleaseRequired)) {
            WsByteBufferUtils.releaseBufferArray(this.decryptedNetBuffers);
            this.decryptedNetBuffers = null;
        }
    }",SSLReadServiceContext.cleanupDecBuffers,https://github.com/OpenLiberty/open-liberty/blob/ca725d9903e63645018f9fa8cbda25f60af83a5d/dev/com.ibm.ws.channel.ssl/src/com/ibm/ws/channel/ssl/internal/SSLReadServiceContext.java#L1091-L1100,1.2441237
priority queue,"public final boolean isPositiveUp(GridRecord gr) {
    int type = gr.getLevelType1();
    if ((type == 1) || (type == 5)) {
      return false;
    }
    return true;
  }",GempakLookup.isPositiveUp,https://github.com/Unidata/thredds/blob/d2d68f9eee87f345625211324d71d5dc3e162ee1/visad/src/main/java/ucar/nc2/iosp/gempak/GempakLookup.java#L174-L180,1.243043
priority queue,"public boolean isSpecialIdentifier(String... triggers) {
        if (triggers.length == 0) {
            return is(TokenType.SPECIAL_ID);
        }
        for (String possibleTrigger : triggers) {
            if (matches(TokenType.SPECIAL_ID, possibleTrigger)) {
                return true;
            }
        }
        return false;
    }",Token.isSpecialIdentifier,https://github.com/scireum/parsii/blob/fbf686155b1147b9e07ae21dcd02820b15c79a8c/src/main/java/parsii/tokenizer/Token.java#L390-L400,1.2430164
priority queue,"public static StoreException create(final Type type, final String errorMessage) {
        Exceptions.checkNotNullOrEmpty(errorMessage, ""errorMessage"");
        return create(type, null, errorMessage);
    }",StoreException.create,https://github.com/pravega/pravega/blob/6e24df7470669b3956a07018f52b2c6b3c2a3503/controller/src/main/java/io/pravega/controller/store/stream/StoreException.java#L68-L71,1.2429467
